full_address,latitude,longitude,total_leasedSF,company_list,sector_list,lease_count
"1 Broadway, New York, NY, 10004",40.7049731,-74.0146054,208737,Fiserv; Fiserv; Fiserv,"Technology, Advertising, Media, And Information",3
"1 Bryant Park, New York, NY, 10036",40.6145717,-73.6452839,473899,Akin Gump Strauss Hauer & Feld; Bank Of America; NA; NA; NA,Legal Services; Financial Services And Insurance; NA,5
"1 Dag Hammarskjold Plz, New York, NY, 10017",40.7532073,-73.9700146,359652,NA; Permanent Mission Of Italy To The Un; United Nations Joint Staff Pension Fund; NA; United Nations; Douglas C. Lane & Associates; United Kingdom Mission To The United Nations; NA; NA; Microsoft; Permanent Mission Of France To The United Nations; Permanent Mission Of Ireland; NA; NA; NA,"NA; Government; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Financial Services And Insurance; Tbd; Technology, Advertising, Media, And Information",15
"1 Hanover Sq, New York, NY, 10004",40.7046606,-74.0097725,22464,NA; NA; Stone Street Software; Switch; NA,NA; Tbd,5
"1 Herald Sq, New York, NY, 10001",40.7502599,-73.9879099,149991,Yeshiva University,Education,1
"1 Liberty Plz, New York, NY, 10006",40.6590616,-74.004415,501260,Acrisure; HEAP; NA; Chaves & Perlowitz; NA; Convene; NA; Health First; NA; Wasserman Music; NA; NA; Cushman & Wakefield; NA; Jfb Legal; Digiday; Stylus Styles; Friedman; Ithaka; The Port Authority Of New York And New Jersey; Jfb Legal,"Financial Services And Insurance; Government; NA; Legal Services; Tbd; Coworking And Executive Suite Companies; Healthcare; Technology, Advertising, Media, And Information; Real Estate (Except Coworking Providers); Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",21
"1 Madison Ave, New York, NY, 10010",40.74083,-73.9868072,849155,IBM; 777 Partners; Palo Alto Networks; NA; Coinbase; Fan Duel (Flutter); Franklin Templeton; NA,"Technology, Advertising, Media, And Information; Financial Services And Insurance; NA; Personal Services And Recreation",8
"1 Manhattan West, New York, NY, 10001",40.7527237,-73.997689,379221,Mckool Smith; Pharo Management; W.p.carey; Wiz; Sas Institute; Immobiliare Management; NA; Worldwide Technologies; NA; Susman Godfrey; Darktrace; NA; Accenture; Pharo Management; NA; NA,"Legal Services; Financial Services And Insurance; Technology, Advertising, Media, And Information; Education; NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Tbd; Unclassifiable",16
"1 New York Plz, New York, NY, 10004",40.7021931,-74.0120405,1801684,Fried Frank; NA; Spacesmith; Fidelity Information Services; Morgan Stanley,"Legal Services; NA; Construction, Engineering And Architecture; Technology, Advertising, Media, And Information; Financial Services And Insurance",5
"1 Rockefeller Plaza, New York, NY, 10020",40.7580432,-73.9790248,351542,NA; NA; NA; Ehomie New York; NA; NA; NA; Old Republic Insurance; NA; Chesapeake Asset Management; NA; NA; NA; NA; FXCM; NA; NA; NA; NA; Nyc Tourism & Conventions; Gochman Group; Empery Asset Management; Quontic Bank; NA; NA; NA; NA; Club Monaco; Emery Celli Abady; NA; NA; NA; Trammo [Transammonia]; NA; NA; 16th Amendment Advisors; Colchester Partners; Renco Group; NA; Alleghany; NA; Ulysses Management; NA; NA; NA; Ingalls & Snyder; NA; NA,NA; Financial Services And Insurance; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Real Estate (Except Coworking Providers); Retail; Legal Services; Transportation; Tbd,48
